Interval=	0.001 s
ExcelDateTime=	4.3735398023912865e+004	9/27/2019 9:33:09.266072
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	20.000 mV
2.941	0.574375
2.942	0.574375
2.943	0.574375
2.944	0.575
2.945	0.575
2.946	0.575
2.947	0.575
2.948	0.575625
2.949	0.575625
2.95	0.575625
2.951	0.575625
2.952	0.575625
2.953	0.575625
2.954	0.575625
2.955	0.575625
2.956	0.57625
2.957	0.57625
2.958	0.57625
2.959	0.57625
2.96	0.57625
2.961	0.57625
2.962	0.576875
2.963	0.576875
2.964	0.576875
2.965	0.5775
2.966	0.5775
2.967	0.578125
2.968	0.578125
2.969	0.5775
2.97	0.5775
2.971	0.5775
2.972	0.576875
2.973	0.57625
2.974	0.575
2.975	0.574375
2.976	0.573125
2.977	0.5725
2.978	0.571875
2.979	0.570625
2.98	0.57
2.981	0.569375
2.982	0.56875
2.983	0.56875
2.984	0.56875
2.985	0.56875
2.986	0.569375
2.987	0.57
2.988	0.57125
2.989	0.573125
2.99	0.575
2.991	0.57625
2.992	0.57875
