Interval=	0.001 s
ExcelDateTime=	4.1949665459635347e+004	11/6/2014 15:58:15.712494
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	20.000 mV	10.000 V
0.949	-2.421	-0.001
0.95	-2.426	-0.001
0.951	-2.429	-0.001
0.952	-2.431	-0.001
0.953	-2.433	-0.001
0.954	-2.433	-0.001
0.955	-2.432	-0.001
0.956	-2.429	-0.001
0.957	-2.426	-0.000
0.958	-2.422	-0.000
0.959	-2.419	-0.000
0.96	-2.416	-0.000
0.961	-2.415	-0.000
0.962	-2.414	-0.001
0.963	-2.416	-0.001
0.964	-2.418	-0.001
0.965	-2.421	-0.001
0.966	-2.426	-0.001
0.967	-2.429	-0.001
0.968	-2.433	-0.001
0.969	-2.435	-0.001
0.97	-2.436	-0.001
0.971	-2.436	-0.001
0.972	-2.435	-0.001
0.973	-2.433	-0.001
0.974	-2.428	-0.001
0.975	-2.425	-0.001
0.976	-2.421	-0.001
0.977	-2.419	-0.001
0.978	-2.417	-0.000
0.979	-2.417	-0.000
0.98	-2.418	-0.000
0.981	-2.421	-0.000
0.982	-2.424	-0.000
0.983	-2.428	-0.000
0.984	-2.432	-0.001
0.985	-2.435	-0.001
0.986	-2.437	-0.001
0.987	-2.438	-0.001
0.988	-2.437	-0.001
0.989	-2.435	-0.001
0.99	-2.432	-0.001
0.991	-2.429	-0.001
0.992	-2.424	-0.001
0.993	-2.421	-0.001
0.994	-2.419	-0.001
0.995	-2.418	-0.001
0.996	-2.418	-0.001
0.997	-2.419	-0.001
0.998	-2.421	-0.001
0.999	-2.424	-0.001
1	-2.428	-0.001
1.001	-2.431	-0.001
1.002	-2.434	-0.000
1.003	-2.435	-0.000
1.004	-2.435	-0.000
1.005	-2.434	-0.000
1.006	-2.432	-0.001
1.007	-2.429	-0.001
1.008	-2.426	-0.001
1.009	-2.422	-0.001
1.01	-2.420	-0.001
1.011	-2.418	-0.001
1.012	-2.417	-0.001
1.013	-2.417	-0.001
1.014	-2.419	-0.001
1.015	-2.421	-0.001
1.016	-2.424	-0.001
1.017	-2.427	-0.001
1.018	-2.429	-0.001
1.019	-2.431	-0.001
1.02	-2.432	-0.001
1.021	-2.431	-0.001
1.022	-2.430	-0.001
1.023	-2.428	-0.000
1.024	-2.424	-0.000
1.025	-2.421	-0.000
1.026	-2.418	-0.000
1.027	-2.416	-0.000
1.028	-2.415	-0.001
1.029	-2.416	-0.001
1.03	-2.418	-0.001
1.031	-2.420	-0.001
1.032	-2.423	-0.001
1.033	-2.428	-0.001
1.034	-2.431	-0.001
1.035	-2.434	-0.001
1.036	-2.436	-0.001
1.037	-2.436	-0.001
1.038	-2.436	-0.001
1.039	-2.434	-0.001
1.04	-2.431	-0.001
1.041	-2.427	-0.001
1.042	-2.424	-0.001
1.043	-2.420	-0.001
1.044	-2.418	-0.001
1.045	-2.417	-0.000
1.046	-2.417	-0.000
1.047	-2.419	-0.000
1.048	-2.421	-0.000
1.049	-2.424	-0.000
1.05	-2.428	-0.001
1.051	-2.431	-0.001
1.052	-2.434	-0.001
1.053	-2.435	-0.001
1.054	-2.435	-0.001
1.055	-2.434	-0.001
1.056	-2.432	-0.001
1.057	-2.429	-0.001
1.058	-2.425	-0.001
1.059	-2.422	-0.001
1.06	-2.419	-0.001
1.061	-2.417	-0.001
1.062	-2.416	-0.001
1.063	-2.417	-0.001
1.064	-2.418	-0.001
1.065	-2.421	-0.001
1.066	-2.424	-0.001
1.067	-2.428	-0.001
1.068	-2.430	-0.000
1.069	-2.433	-0.000
1.07	-2.433	-0.000
1.071	-2.433	-0.000
1.072	-2.431	-0.001
1.073	-2.429	-0.001
1.074	-2.426	-0.001
1.075	-2.422	-0.001
1.076	-2.420	-0.001
1.077	-2.418	-0.001
1.078	-2.416	-0.001
1.079	-2.416	-0.001
1.08	-2.418	-0.001
1.081	-2.419	-0.001
1.082	-2.422	-0.001
1.083	-2.426	-0.001
1.084	-2.429	-0.001
1.085	-2.431	-0.001
1.086	-2.433	-0.001
1.087	-2.434	-0.001
1.088	-2.434	-0.001
1.089	-2.432	-0.001
1.09	-2.429	-0.000
1.091	-2.427	-0.000
1.092	-2.424	-0.000
1.093	-2.421	-0.000
1.094	-2.419	-0.000
1.095	-2.419	-0.001
1.096	-2.420	-0.001
1.097	-2.422	-0.001
1.098	-2.424	-0.001
1.099	-2.428	-0.001
1.1	-2.431	-0.001
